datetime,temp,hum,energy
2020-01-01 00:00:00,4.35,25.64,24.26
2020-01-02 00:00:00,9.73,22.23,23.9
2020-01-03 00:00:00,3.14,21.38,0.36
2020-01-04 00:00:00,0.51,39.28,34.65
2020-01-05 00:00:00,8.77,8.65,39.32
2020-01-06 00:00:00,3.68,24.5,35.4
2020-01-07 00:00:00,6.4,10.57,76.21
2020-01-08 00:00:00,0.85,14.46,16.15
2020-01-09 00:00:00,9.65,2.09,61.17
2020-01-10 00:00:00,4.47,28.96,96.84
2020-01-11 00:00:00,8.79,42.08,25.25
2020-01-12 00:00:00,0.4,40.59,9.59
2020-01-13 00:00:00,8.38,2.79,2.24
2020-01-14 00:00:00,2.32,31.86,21.79
2020-01-15 00:00:00,9.77,49.55,48.43
2020-01-16 00:00:00,5.59,28.23,53.09
2020-01-17 00:00:00,4.26,0.39,54.13
2020-01-18 00:00:00,7.23,25.83,4.9
2020-01-19 00:00:00,4.08,33.88,95.54
2020-01-20 00:00:00,4.03,1.28,45.31
2020-01-21 00:00:00,0.5,35.24,30.42
2020-01-22 00:00:00,4.7,12.15,82.24
2020-01-23 00:00:00,1.92,34.41,95.22
2020-01-24 00:00:00,6.53,5.11,52.09
2020-01-25 00:00:00,6.78,42.97,5.68
2020-01-26 00:00:00,3.48,16.78,85.06
2020-01-27 00:00:00,9.33,12.47,90.61
2020-01-28 00:00:00,9.24,8.71,23.12
2020-01-29 00:00:00,8.85,6.29,52.29
2020-01-30 00:00:00,3.41,38.95,18.86
2020-01-31 00:00:00,0.91,22.71,25.31
2020-02-01 00:00:00,7.86,15.42,96.15
2020-02-02 00:00:00,8.28,0.38,44.05
2020-02-03 00:00:00,4.34,40.49,64.79
2020-02-04 00:00:00,1.02,17.2,80.73
2020-02-05 00:00:00,4.41,1.07,19.83
2020-02-06 00:00:00,7.56,46.9,19.74
2020-02-07 00:00:00,2.4,10.86,43.66
2020-02-08 00:00:00,5.41,38.06,79.5
2020-02-09 00:00:00,3.49,35.78,52.12
2020-02-10 00:00:00,1.78,40.44,27.14
2020-02-11 00:00:00,3.72,44.77,21.91
2020-02-12 00:00:00,2.23,29.44,96.24
2020-02-13 00:00:00,3.17,32.93,78.45
2020-02-14 00:00:00,8.47,22.32,54.73
2020-02-15 00:00:00,6.95,8.85,7.65
2020-02-16 00:00:00,3.11,12.33,64.59
2020-02-17 00:00:00,6.84,20.62,16.93
2020-02-18 00:00:00,1.6,20.63,15.46
2020-02-19 00:00:00,5.64,14.48,36.09
2020-02-20 00:00:00,7.12,17.08,59.43
2020-02-21 00:00:00,4.43,19.44,31.78
2020-02-22 00:00:00,0.86,0.62,63.09
2020-02-23 00:00:00,3.57,24.26,84.47
2020-02-24 00:00:00,3.7,13.53,64.03
2020-02-25 00:00:00,5.72,38.87,50.42
2020-02-26 00:00:00,1.89,29.45,70.95
2020-02-27 00:00:00,9.02,44.63,0.23
2020-02-28 00:00:00,8.87,9.92,43.77
2020-02-29 00:00:00,0.57,0.96,4.66
2020-03-01 00:00:00,7.2,10.84,62.42
2020-03-02 00:00:00,1.88,43.5,96.59
2020-03-03 00:00:00,9.68,25.98,15.84
2020-03-04 00:00:00,4.63,4.39,20.88
2020-03-05 00:00:00,0.12,10.39,85.01
2020-03-06 00:00:00,5.3,15.83,3.94
2020-03-07 00:00:00,5.27,0.92,53.01
2020-03-08 00:00:00,2.92,48.35,32.48
2020-03-09 00:00:00,1.99,41.24,86.84
2020-03-10 00:00:00,4.64,31.02,9.85
2020-03-11 00:00:00,3.24,38.48,17.15
2020-03-12 00:00:00,6.62,31.27,26.05
2020-03-13 00:00:00,0.47,37.31,51.66
2020-03-14 00:00:00,3.98,30.73,56.04
2020-03-15 00:00:00,5.61,19.69,45.74
2020-03-16 00:00:00,6.87,45.53,76.38
2020-03-17 00:00:00,5.25,30.59,55.53
2020-03-18 00:00:00,9.39,24.98,19.95
2020-03-19 00:00:00,6.72,0.61,5.54
2020-03-20 00:00:00,1.78,24.04,47.93
2020-03-21 00:00:00,3.81,0.02,7.16
2020-03-22 00:00:00,3.96,6.2,41.01
2020-03-23 00:00:00,7.84,13.07,24.16
2020-03-24 00:00:00,7.12,1.3,61.11
2020-03-25 00:00:00,4.04,1.73,97.81
2020-03-26 00:00:00,0.37,3.79,40.24
2020-03-27 00:00:00,0.89,22.5,99.96
2020-03-28 00:00:00,7.11,34.95,74.71
2020-03-29 00:00:00,8.42,13.1,12.63
2020-03-30 00:00:00,3.76,17.07,51.58
2020-03-31 00:00:00,6.06,30.59,91.15
2020-04-01 00:00:00,8.76,6.7,59.27
2020-04-02 00:00:00,9.75,25.99,20.66
2020-04-03 00:00:00,4.73,44.81,27.87
2020-04-04 00:00:00,9.87,4.16,11.07
2020-04-05 00:00:00,9.45,4.18,66.52
2020-04-06 00:00:00,3.57,0.3,5.17
2020-04-07 00:00:00,0.72,48.51,24.07
2020-04-08 00:00:00,3.23,39.54,54.97
2020-04-09 00:00:00,0.94,0.36,40.28
